질문,답변
"투자자문인력 자격시험 응시 요건은?","학력/경력 제한 없이 누구나 응시 가능합니다. 한국금융투자협회(KOFIA)에서 주관하며, 인터넷 접수로 신청합니다."
"투자자문인력 시험과목은?","1과목: 금융투자상품 및 증권시장, 2과목: 투자권유 총 2과목입니다. 과목별 100점 만점에 70점 이상 합격입니다."
"펀드투자상담사 시험과목은?","1과목: 펀드투자, 2과목: 증권투자, 3과목: 부동산투자 총 3과목입니다. 과목별 40점 이상, 전체 평균 70점 이상 합격입니다."
"파생상품투자상담사 시험과목은?","1과목: 파생상품투자, 2과목: 리스크관리 총 2과목입니다. 과목별 40점 이상, 전체 평균 70점 이상 합격입니다."
"증권투자권유자문인력 자격시험은?","투자자문인력의 전 단계 자격으로, 투자권유 업무를 수행하기 위한 기본 자격입니다. 금융투자협회에서 주관합니다."
"자격시험 접수는 어디서 하나요?","한국금융투자협회 자격시험센터(license.kofia.or.kr)에서 인터넷으로 접수합니다. 시험 약 2주 전까지 접수 가능합니다."
"시험 응시료는 얼마인가요?","투자자문인력: 27,200원, 펀드투자상담사: 34,000원, 파생상품투자상담사: 27,200원입니다. (2026년 기준)"
"합격 후 자격 등록은 어떻게 하나요?","합격 후 금융투자협회 홈페이지에서 자격 등록 신청을 합니다. 소속 회사(하나증권) 확인 절차를 거쳐 등록이 완료됩니다."
"자격 갱신 주기는 어떻게 되나요?","금융투자 자격은 등록일로부터 3년마다 보수교육을 이수하여 갱신해야 합니다. 미갱신 시 자격이 정지됩니다."
"보수교육은 어떻게 받나요?","금융투자협회 교육포털(edu.kofia.or.kr)에서 온라인으로 수강합니다. 자격 종류별 필수 이수 시간이 상이합니다."
"보수교육 이수 시간은?","투자자문인력: 20시간, 펀드투자상담사: 20시간, 파생상품투자상담사: 20시간입니다. 갱신 기한 내에 이수해야 합니다."
"시험 합격률은 어느 정도인가요?","최근 기준 투자자문인력 약 40~50%, 펀드투자상담사 약 35~45%, 파생상품투자상담사 약 30~40% 수준입니다."
"시험 준비 기간은 얼마나 필요한가요?","일반적으로 투자자문인력 2~4주, 펀드투자상담사 4~6주, 파생상품투자상담사 4~6주 정도의 준비 기간을 권장합니다."
"추천 교재는 무엇인가요?","한국금융투자협회에서 출판한 공식 교재가 가장 정확합니다. 협회 홈페이지에서 구매 가능하며, 최신판을 사용하세요."
"회사에서 자격취득 지원이 있나요?","하나증권은 금융자격증 취득 시 응시료 전액 지원(합격 시), 보수교육비 지원, 자격수당 지급 등의 혜택을 제공합니다."
"자격수당은 얼마인가요?","자격증 종류와 등급에 따라 월 5만원~20만원의 자격수당이 지급됩니다. 자세한 금액은 인재개발실에 문의하세요."
"여러 자격증을 동시에 준비할 수 있나요?","가능합니다. 다만 시험 일정이 겹치지 않도록 확인하고, 과목 간 연관성을 고려하여 순서를 정하는 것을 권장합니다."
"시험 당일 준비물은?","신분증(주민등록증/운전면허증/여권), 수험표(인쇄 또는 모바일), 컴퓨터용 사인펜을 준비하세요. 계산기는 시험장에서 제공됩니다."
"시험 시간은 얼마나 되나요?","투자자문인력: 120분(2시간), 펀드투자상담사: 150분(2시간 30분), 파생상품투자상담사: 120분(2시간)입니다."
"시험 결과는 언제 나오나요?","시험일로부터 약 2주 후 금융투자협회 자격시험센터 홈페이지에서 합격 여부를 확인할 수 있습니다."
"불합격 시 재응시는?","횟수 제한 없이 재응시 가능합니다. 다음 회차 시험에 바로 접수할 수 있으며, 과목별 부분 합격 제도는 없습니다."
"투자자문인력과 투자권유자문인력의 차이는?","투자권유자문인력은 기본 자격, 투자자문인력은 상위 자격입니다. 투자자문인력은 더 넓은 범위의 투자자문 업무를 수행할 수 있습니다."
"CFA 자격은 회사에서 지원하나요?","CFA 자격 취득 시 응시료 지원 및 학습 자료비 일부 지원이 있습니다. 자세한 지원 내용은 인재개발실에 문의하세요."
"FRM 자격은 어떤 건가요?","FRM(Financial Risk Manager)은 GARP에서 주관하는 국제 리스크관리 자격입니다. 리스크 관련 부서 근무자에게 권장됩니다."
"자격시험 일정은 어디서 확인하나요?","한국금융투자협회 자격시험센터(license.kofia.or.kr) 또는 인재개발실 게시판에서 연간 시험 일정을 확인할 수 있습니다."
"온라인 시험도 가능한가요?","현재 금융투자 자격시험은 지정된 시험장에서 오프라인으로만 응시 가능합니다. CBT(컴퓨터 기반 시험) 방식입니다."
"시험장은 어디에 있나요?","서울(여의도 금투협), 부산, 대구, 광주, 대전 등 주요 도시에 시험장이 있습니다. 접수 시 시험장을 선택합니다."
"자격증 취득 후 등록 유예 기간은?","합격일로부터 2년 이내에 자격 등록을 해야 합니다. 2년 초과 시 자격이 실효됩니다."
"퇴직 후에도 자격이 유지되나요?","퇴직 시 자격 등록이 말소되지만, 재입사 또는 타 금융회사 입사 시 재등록 가능합니다. 보수교육 이수 상태가 유지되어야 합니다."
"인재개발실 자격증 담당자 연락처는?","인재개발실 자격증 담당: 내선 1234, 이메일 cert@hanasec.com으로 문의하세요. 상담 가능 시간: 평일 09:00~18:00입니다."
