질문,답변
"주식 매매 수수료는 얼마인가요?","온라인(HTS/MTS) 거래 시 매매대금의 0.015%, 오프라인(영업점) 거래 시 0.1%가 부과됩니다. 유관기관 수수료(거래세 등)는 별도 부과됩니다."
"계좌 개설은 어떻게 하나요?","모바일 앱에서 비대면 개설이 가능합니다. 신분증(주민등록증/운전면허증)을 준비하신 후, 앱 > '계좌개설' 메뉴에서 본인인증 후 약 5분 내에 완료됩니다."
"해외주식 거래는 어떻게 하나요?","해외주식 전용 계좌가 필요합니다. 기존 종합계좌에서 해외주식 거래 신청 후, MTS > 해외주식 탭에서 미국/중국/일본/홍콩 주식을 거래할 수 있습니다."
"환전은 어떻게 하나요?","MTS/HTS > 해외주식 > 환전 메뉴에서 가능합니다. 실시간 환율이 적용되며, 우대 환율 혜택이 제공됩니다. 환전 후 바로 해외주식 매수에 사용 가능합니다."
"ELS 상품이란 무엇인가요?","ELS(주가연계증권)는 기초자산(주가지수, 개별종목 등)의 가격 변동에 따라 수익이 결정되는 파생결합증권입니다. 만기 시 조건 충족 여부에 따라 수익 또는 손실이 발생합니다."
"DLS 상품이란 무엇인가요?","DLS(파생결합증권)는 금리, 원자재, 환율 등 다양한 기초자산에 연계된 증권입니다. ELS와 유사하지만 기초자산이 주가가 아닌 점이 다릅니다."
"펀드 환매 수수료는 얼마인가요?","환매 수수료는 펀드별로 상이합니다. 일반적으로 가입 후 90일 미만 환매 시 이익금의 70%, 90일 이상~1년 미만 시 이익금의 30%가 부과됩니다. 정확한 수수료는 해당 펀드 투자설명서를 참고하세요."
"ISA 계좌란 무엇인가요?","ISA(Individual Savings Account)는 개인종합자산관리계좌로, 하나의 계좌에서 예금/적금/펀드/ETF 등 다양한 금융상품을 운용할 수 있습니다. 비과세/분리과세 혜택이 있습니다."
"공모주 청약은 어떻게 하나요?","공모주 청약은 MTS/HTS > 공모주/실권주 메뉴에서 가능합니다. 청약 기간 내에 증거금을 납입하고 청약을 신청하면 됩니다. 일반 청약의 경우 균등배정과 비례배정이 적용됩니다."
"배당금은 어떻게 받나요?","배당 기준일에 해당 종목을 보유하고 있으면 자동으로 지급됩니다. 현금배당은 계좌로 입금되며, 주식배당은 주식으로 지급됩니다. 배당 지급일은 기업마다 상이합니다."
"양도소득세 신고는 어떻게 하나요?","대주주 요건(특정 종목 10억 이상 등)에 해당하거나 해외주식 양도소득이 250만원을 초과하면 양도소득세 신고가 필요합니다. 매년 5월 종합소득세 신고 시 함께 신고하시면 됩니다."
"비대면 대출 신청이 가능한가요?","네, 주식담보대출(스탁론)은 MTS > 대출 메뉴에서 비대면으로 신청 가능합니다. 보유 주식을 담보로 대출 한도가 산정되며, 실시간 심사로 빠르게 이용 가능합니다."
"HTS 설치 방법을 알려주세요.","홈페이지 > 트레이딩 > HTS 다운로드에서 설치 파일을 받을 수 있습니다. Windows 10 이상에서 작동하며, 공인인증서 또는 금융인증서로 로그인합니다."
"MTS 앱은 어디서 다운받나요?","App Store(iOS) 또는 Google Play(Android)에서 '하나증권' 또는 '원큐' 검색 후 다운로드할 수 있습니다."
"신용거래란 무엇인가요?","신용거래는 증권사로부터 자금 또는 주식을 빌려 매매하는 거래입니다. 신용매수(자금 차입), 신용매도(주식 대여) 등이 있으며, 별도의 이자와 수수료가 발생합니다."
"공인인증서 갱신은 어떻게 하나요?","홈페이지 또는 MTS > 인증센터에서 갱신 가능합니다. 공인인증서 만료 30일 전부터 갱신할 수 있으며, 금융인증서로 전환도 가능합니다."
"체결 알림은 어떻게 설정하나요?","MTS > 설정 > 알림 설정에서 체결 알림, 잔고 변동 알림, 시장 알림 등을 설정할 수 있습니다. 카카오톡 알림도 연동 가능합니다."
"주식 이체(타사 대체입고)는 어떻게 하나요?","MTS > 뱅킹/대체 > 타사대체입고 메뉴에서 신청 가능합니다. 타 증권사 계좌번호와 종목을 입력하면 영업일 기준 1~2일 내에 이체됩니다."
"증거금 부족 시 어떻게 되나요?","미수거래가 발생하며, D+2일까지 부족 증거금을 납입해야 합니다. 미납 시 반대매매(강제매도)가 실행될 수 있으니 주의하시기 바랍니다."
